"Indicator","Time","Value (USD/UAH)"
"Currency","2015/08/03",20.96
"Currency","2015/07/31",20.82
"Currency","2015/07/30",21.80
"Currency","2015/07/29",21.80
"Currency","2015/07/28",21.78
"Currency","2015/07/27",21.84
"Currency","2015/07/24",21.80
"Currency","2015/07/23",21.80
"Currency","2015/07/22",21.77
"Currency","2015/07/21",21.77
"Currency","2015/07/20",22.31
"Currency","2015/07/17",21.82
"Currency","2015/07/16",21.68
"Currency","2015/07/15",21.76
"Currency","2015/07/14",21.60
"Currency","2015/07/13",21.66
"Currency","2015/07/12",21.95
"Currency","2015/07/10",21.69
"Currency","2015/07/09",21.32
"Currency","2015/07/08",21.26
"Currency","2015/07/07",21.10
"Currency","2015/07/06",20.73
"Currency","2015/07/04",21.37
"Currency","2015/07/03",20.70
"Currency","2015/07/02",20.74
"Currency","2015/07/01",20.74
"Currency","2015/06/30",20.74
"Currency","2015/06/29",20.74
"Currency","2015/06/26",20.88
"Currency","2015/06/25",20.91
"Currency","2015/06/24",21.41
"Currency","2015/06/23",21.47
"Currency","2015/06/22",21.63
"Currency","2015/06/19",20.87
"Currency","2015/06/18",21.27
"Currency","2015/06/17",21.46
"Currency","2015/06/16",21.49
"Currency","2015/06/15",20.77
"Currency","2015/06/12",20.76
"Currency","2015/06/11",20.81
"Currency","2015/06/10",20.92
"Currency","2015/06/09",20.84
"Currency","2015/06/08",20.76
"Currency","2015/06/05",20.79
"Currency","2015/06/04",20.68
"Currency","2015/06/03",20.70
"Currency","2015/06/02",20.77
"Currency","2015/06/01",20.82
"Currency","2015/05/29",20.96
"Currency","2015/05/28",21.26
"Currency","2015/05/27",21.26
"Currency","2015/05/26",20.47
"Currency","2015/05/25",20.49
"Currency","2015/05/22",20.49
"Currency","2015/05/21",20.46
"Currency","2015/05/20",20.86
"Currency","2015/05/19",22.00
"Currency","2015/05/18",20.73
"Currency","2015/05/15",20.26
"Currency","2015/05/14",20.43
"Currency","2015/05/13",20.45
"Currency","2015/05/12",20.72
"Currency","2015/05/11",20.21
"Currency","2015/05/08",20.29
"Currency","2015/05/07",20.73
"Currency","2015/05/06",20.63
"Currency","2015/05/05",20.97
"Currency","2015/05/04",20.78
"Currency","2015/05/01",20.84
"Currency","2015/04/30",22.00
"Currency","2015/04/29",22.34
"Currency","2015/04/28",22.69
"Currency","2015/04/27",22.41
"Currency","2015/04/24",22.22
"Currency","2015/04/23",22.33
"Currency","2015/04/22",22.27
"Currency","2015/04/21",22.56
"Currency","2015/04/20",20.70
"Currency","2015/04/17",20.57
"Currency","2015/04/16",20.95
"Currency","2015/04/15",22.52
"Currency","2015/04/14",22.26
"Currency","2015/04/13",22.26
"Currency","2015/04/10",23.06
"Currency","2015/04/09",23.25
"Currency","2015/04/08",23.26
"Currency","2015/04/07",22.90
