"Indicator","Time","Value (USD/SYP)"
"Currency","2015/09/07",219.75
"Currency","2015/09/04",219.80
"Currency","2015/09/03",219.85
"Currency","2015/09/02",219.90
"Currency","2015/09/01",219.95
"Currency","2015/08/31",220.05
"Currency","2015/08/28",220.15
"Currency","2015/08/27",220.25
"Currency","2015/08/26",220.25
"Currency","2015/08/25",220.30
"Currency","2015/08/24",220.35
"Currency","2015/08/21",220.30
"Currency","2015/08/20",220.21
"Currency","2015/08/19",220.10
"Currency","2015/08/18",219.80
"Currency","2015/08/17",219.85
"Currency","2015/08/14",219.95
"Currency","2015/08/13",219.60
"Currency","2015/08/12",219.70
"Currency","2015/08/11",219.80
"Currency","2015/08/10",219.50
"Currency","2015/08/07",219.55
"Currency","2015/08/06",219.60
"Currency","2015/08/05",219.35
"Currency","2015/08/04",219.40
"Currency","2015/08/03",219.10
"Currency","2015/07/31",219.20
"Currency","2015/07/30",215.75
"Currency","2015/07/29",219.04
"Currency","2015/07/28",218.90
"Currency","2015/07/27",218.98
"Currency","2015/07/24",219.00
"Currency","2015/07/23",218.88
"Currency","2015/07/22",218.75
"Currency","2015/07/21",218.85
"Currency","2015/07/20",218.52
"Currency","2015/07/17",218.60
"Currency","2015/07/16",218.70
"Currency","2015/07/15",218.75
"Currency","2015/07/14",218.55
"Currency","2015/07/13",218.50
"Currency","2015/07/10",218.30
"Currency","2015/07/09",218.30
"Currency","2015/07/08",218.39
"Currency","2015/07/07",218.10
"Currency","2015/07/06",218.17
"Currency","2015/07/03",217.85
"Currency","2015/07/02",217.90
"Currency","2015/07/01",217.95
"Currency","2015/06/30",218.00
"Currency","2015/06/29",217.65
"Currency","2015/06/26",217.70
"Currency","2015/06/25",217.80
"Currency","2015/06/24",217.59
"Currency","2015/06/23",217.95
"Currency","2015/06/22",218.01
"Currency","2015/06/19",217.70
"Currency","2015/06/18",217.75
"Currency","2015/06/17",217.77
"Currency","2015/06/16",217.60
"Currency","2015/06/15",217.30
"Currency","2015/06/12",217.40
"Currency","2015/06/11",217.05
"Currency","2015/06/10",217.17
"Currency","2015/06/09",216.85
"Currency","2015/06/08",216.95
"Currency","2015/06/05",217.05
"Currency","2015/06/04",216.80
"Currency","2015/06/03",216.88
"Currency","2015/06/02",216.55
"Currency","2015/06/01",216.65
"Currency","2015/05/29",216.75
"Currency","2015/05/28",216.85
"Currency","2015/05/27",217.00
"Currency","2015/05/26",217.05
"Currency","2015/05/25",217.15
"Currency","2015/05/22",217.15
"Currency","2015/05/21",217.25
"Currency","2015/05/20",217.30
"Currency","2015/05/19",217.30
"Currency","2015/05/18",217.30
"Currency","2015/05/15",217.40
"Currency","2015/05/14",217.50
"Currency","2015/05/13",217.60
"Currency","2015/05/12",217.65
"Currency","2015/05/11",217.70
"Currency","2015/05/08",217.80
