"Indicator","Time","Value (USD/BDT)"
"Currency","2015/08/28",77.85
"Currency","2015/08/27",77.88
"Currency","2015/08/26",77.77
"Currency","2015/08/25",77.78
"Currency","2015/08/24",77.81
"Currency","2015/08/21",77.91
"Currency","2015/08/20",77.92
"Currency","2015/08/19",77.78
"Currency","2015/08/18",77.78
"Currency","2015/08/17",77.79
"Currency","2015/08/14",78.27
"Currency","2015/08/13",77.81
"Currency","2015/08/12",77.75
"Currency","2015/08/11",77.78
"Currency","2015/08/10",77.85
"Currency","2015/08/07",77.86
"Currency","2015/08/06",77.91
"Currency","2015/08/05",76.10
"Currency","2015/08/04",76.14
"Currency","2015/08/03",76.29
"Currency","2015/08/02",77.93
"Currency","2015/08/01",77.93
"Currency","2015/07/31",76.12
"Currency","2015/07/30",76.21
"Currency","2015/07/29",76.10
"Currency","2015/07/28",76.10
"Currency","2015/07/27",76.13
"Currency","2015/07/24",76.11
"Currency","2015/07/23",76.11
"Currency","2015/07/22",76.09
"Currency","2015/07/21",76.09
"Currency","2015/07/20",76.46
"Currency","2015/07/17",76.07
"Currency","2015/07/16",76.11
"Currency","2015/07/15",76.06
"Currency","2015/07/14",76.03
"Currency","2015/07/13",76.08
"Currency","2015/07/12",77.68
"Currency","2015/07/10",76.12
"Currency","2015/07/09",76.12
"Currency","2015/07/08",76.24
"Currency","2015/07/07",76.19
"Currency","2015/07/06",76.23
"Currency","2015/07/04",77.81
"Currency","2015/07/03",76.07
"Currency","2015/07/02",76.16
"Currency","2015/07/01",76.22
"Currency","2015/06/30",76.23
"Currency","2015/06/29",76.23
"Currency","2015/06/26",76.20
"Currency","2015/06/25",76.19
"Currency","2015/06/24",76.21
"Currency","2015/06/23",76.04
"Currency","2015/06/22",75.80
"Currency","2015/06/19",76.14
"Currency","2015/06/18",76.12
"Currency","2015/06/17",76.11
"Currency","2015/06/16",76.20
"Currency","2015/06/15",76.14
"Currency","2015/06/12",76.19
"Currency","2015/06/11",76.16
"Currency","2015/06/10",76.14
"Currency","2015/06/09",76.23
"Currency","2015/06/08",76.22
"Currency","2015/06/05",76.32
"Currency","2015/06/04",76.26
"Currency","2015/06/03",76.04
"Currency","2015/06/02",76.13
"Currency","2015/06/01",76.20
"Currency","2015/05/29",76.18
"Currency","2015/05/28",76.14
"Currency","2015/05/27",76.18
"Currency","2015/05/26",76.09
"Currency","2015/05/25",76.29
"Currency","2015/05/22",76.19
"Currency","2015/05/21",76.16
"Currency","2015/05/20",76.18
"Currency","2015/05/19",76.23
"Currency","2015/05/18",76.33
"Currency","2015/05/15",76.33
"Currency","2015/05/14",76.16
"Currency","2015/05/13",76.32
"Currency","2015/05/12",76.11
"Currency","2015/05/11",76.22
"Currency","2015/05/08",76.30
"Currency","2015/05/07",76.18
"Currency","2015/05/05",76.24
"Currency","2015/05/04",76.11
"Currency","2015/05/01",76.31
"Currency","2015/04/30",76.30
"Currency","2015/04/29",76.30
"Currency","2015/04/28",76.20
"Currency","2015/04/27",75.85
"Currency","2015/04/24",76.12
"Currency","2015/04/23",76.27
"Currency","2015/04/22",76.13
"Currency","2015/04/21",76.08
"Currency","2015/04/20",76.30
"Currency","2015/04/17",75.71
"Currency","2015/04/16",76.05
"Currency","2015/04/15",76.22
"Currency","2015/04/14",76.11
"Currency","2015/04/13",76.19
"Currency","2015/04/10",76.08
"Currency","2015/04/09",76.16
"Currency","2015/04/08",76.12
"Currency","2015/04/07",75.09
"Currency","2015/04/06",75.79
"Currency","2015/04/03",75.77
"Currency","2015/04/02",76.24
